name,description
Spectrum,"<p> <br></p>
<p>Welcome!</p>
<br>
<p>Spectrum is a community for living fully and creating a healthy world.</p>
<br>
<p><a href=""https://www.spectrum-community.org"">www.spectrum-community.org</a></p>
<br>
<p>Our public (and private) events have been quite sparse lately, so don't expect to see frequent activity here.</p>
<br>
<p>One of our major long-term goals is to create an alternative to school for young people that is a superior way to live and learn. See our <a href=""https://www.spectrum-community.org/activity/youth-project/"">Youth Project</a>&nbsp;page for more information.</p>
<p> <br></p>"
CHAMPS Homeschool Group,"<p>We're a small group of Homeschool Moms, that started a Co-op Group a few years ago. We are looking to grow both our co-op day and our field trip group. We are looking for like-minded parents, interested in joining us on our field trips or our school day. We know our group isn't for everyone, so, come and get to know us and see if our group is right for you. We'll schedule field trips to the museum, park playdate, and nature hikes. We'd love to grow and become a great support system for our local area. Field trips will take place all over the East Bay. &lt;br&gt;</p> 
<p>More info about our school day: &lt;br&gt;Champs Preparatory Academy, meets once a week, Wednesday, during the school year, from 11:00-3:00, in Pinole. We do fundraisers to support our school, take yearly camping trips with our whole family and celebrate selected holidays.</p>"
San Jose Homeschooling Meetup,"<p>This is a meetup for families who homeschool! We can plan fun field-trips, activities, park days, play-dates, and so much more! Open to all ages! If you have more ideas for this group, let me know!</p>"
Auburn Homeschooling Meetup,"<p>Hey brothers and sisters! <br>Let us create a strong home school community right here in Auburn. Whether you are already part of a co-op or support group, my hope is that we can all pull together so that everyone's want and needs are met. We will plan field trips, group discounts for community classes, play groups, volunteer opportunities, and much more, eventually maybe we can pull together and open our own learning center for homeschoolers and unschoolers alike! Children should be well rounded, taught life skills and have time to discover their passions. Setting the stage for a joyous life for our children is the best opportunity we can give them, weather they want to go to a university to be a doctor, or live a free life of traveling. Our goal is to recognize who each child is as early as possible and allow them every chance to thrive in their calling. Learning from and building relationships with other unique children of all ages will provide a rock solid community of support and encouragement. I look forward to hearing from you! Please shoot me an email at Auburnhomeschool@gmail.com</p>
<p>Chelsea Haldeman<br></p>"
Roseville/Rocklin Skateboarding for Teens and Homeschoolers,<p>We are looking for teenagers that skateboard that live in or near the Roseville and Rocklin areas. My son is 14 and homeschooled. He has no friends out here that skate. Let's go skate!</p>
POC Homeschoolers of Oakland,"<p>This is an intentional community/network for families of color who homeschool (or are interested in collective homeschooling). This group will hold a safe space for children and families of color where our children can honor their humanity and interact in race-positive environment. This is a safe space for families of all backgrounds, orientations, genders, and vaccination statuses. Our children will have the opportunity to interact and learn with kids of all ages who are raised to be kind, loving, and respectful to themselves and others. We are not religiously based but will be rooted in Universal/Spiritual principles such as love, humility, compassion, kindness and empathy. We will initially hold meetups for families, play dates, field trips and camping excursions in the East Bay area. If there is enough interest and support, we can expand into sharing teachers (or forming a school) for enhanced learning classes in music, art, permaculture, languages, STEM, etc.</p>
<p>We will also focus on character building and giving to others by being involved in community service projects and merging forces with other educational centers who support homeschooling.</p>
<p><b>How we work</b></p>
<p>If you're a member of this group, consider yourself a partner and co-creator. This group is about supporting a democratic, de-centralized process that allows everyone to contribute to our children's learning and experiences. This way, we can honor and support the diversity of ideas and perspectives we all bring to the table. &lt;br&gt;</p>
<p>In order to maintain a thriving and vibrant community, members are expected to participate in regular meetings, lead and organize events, as well as show up to and support each other's event.</p>"
Diablo Valley Homeschool Group,"<p>***Please note that all prospective members must first meet with the organizers at an event before membership requests are approved. Once you submit your information to join you will be contacted by one of our organizers with upcoming event information to chose from. Please make sure to check your Meetup Messages so you don't miss out!***</p>
<p>This community is focused on healthy, long lasting friendships and shared learning. The purpose of this group is to bring together families in the Contra Costa County and surrounding areas to build friendships, a support network, and cooperative learning opportunities. </p>
<p>Who are we? We are a group of families who share a passion for teaching our children through homeschooling. Our families currently range in ages from pre-k to middle school but all ages are welcome. We believe that children of all ages socializing together is a part of healthy development. </p>
<p>What do we do? We have weekly park days in the Contra Costa County areas. Additionally we have monthly Mom's Night Out and sometimes extend that to Parents' Night Out and Family Fun Nights. It is our goal to have other activities such as nature walks, movie nights, even co-op learning groups available for families to participate in. Families may participate in any and all events, but are welcome to opt out of any that don't meet their families needs or interests. </p>
<p>When do we meet? We get together every Friday at 10 A.M. for weekly park day play groups. Additional events will be scheduled at various times. </p>
<p>Where do we meet? For most events we meet somewhere in the East and Central areas of Contra Costa County. We may occasionally schedule field trips that are outside of the county as well. </p>
<p>How can your family participate? Join our group! We are always looking to make great connections for children and parents - the more the merrier! Send us a request to join and tell us a little bit about your family. Then come to a meetup and start making connections! <br><br></p>"
"Help for SHY KIDS!!  After School Park Days, Making Friends!","<p>I was inspired to start this group by our sweet, 8 year old daughter. Our daughter loves to interact and play with other kids, but needs more opportunities to develop social skills that help in making new friends. My hope is to provide the opportunity for more positive, fun experiences with other children, and offering the opportunity to gain more self confidence and social skills in the process. If you have a child who has difficulty at school or making new friends due to shyness, social anxiety, or similar, this may be an ideal group to help overcome some of these issues. We look forward to meeting other families and kiddos, hope to see you soon!</p>"
Davis activity partners,"<p>I'm Gerald, the fourth person to step up as the organizer for Davis Activity Partners. &nbsp;I've removed the annual fee requirement and will remove members who have been inactive for a while (you can always rejoin). &nbsp;Otherwise, I plan to keep the group running as it has before. &nbsp;</p>
<p>This is a group where <b>any member can post any type of event</b> that might be of interest to local residents. &nbsp;I generally only schedule hiking and fitness workout events, so I encourage others to post other types of events. &nbsp;Picnics in the park, movie nights, and group dinners have been popular in the past.</p>"
Appreciators of Fine Arts,"<p>This is a group for people who live in Sacramento, Davis, and surrounding areas who enjoy&nbsp;and appreciate fine arts - including paintings, photography, plays, dance, videos, music etc. &nbsp;It enables fine arts lovers to participate in - and hopefully initiate - activities in the Sacramento area as well as the S.F. Bay Area.&nbsp;</p>
<p>If members have any suggestions about exhibits or events that would be of interest, please let me know! I'm really looking forward to meeting other fine arts lovers and enjoying activities with them!&nbsp;- <i>Terry</i></p>
<p><img src=""https://secure.meetupstatic.com/photos/event/1/b/3/e/600_462366974.jpeg""></p>"
Palo Alto People Helping People Meetup,"<p>We are all caught up every day working hard and making money. We should take some time out giving back to the society, and to the world we live in. I have a vision where i want to work with like minded folks in opening schools for the poorest and eventually build a community world wide. They say start small, so that is what i am trying to do. This meet up is to find like minded people who would want to part of this journey. Lets do something worth it which makes us feel good from within and lead a meaningful life along the way.</p>"
Palo Alto People Helping People Meetup,"<p>We are all caught up every day working hard and making money. We should take some time out giving back to the society, and to the world we live in. I have a vision where i want to work with like minded folks in opening schools for the poorest and eventually build a community world wide. They say start small, so that is what i am trying to do. This meet up is to find like minded people who would want to part of this journey. Lets do something worth it which makes us feel good from within and lead a meaningful life along the way.</p>"
Cal Con Con - CA Calls for Constitutional Convention.,"<p><span>Hello &nbsp;Friend,&nbsp;</span> <br></p>
<p>This is our meeting page to gather and talk about how we plan to make California a safer place to live and also how we can help our brothers and sisters around the world protect their civil liberties and the environment that we rely on for survival.</p>
<p>We have a new Initiative ""California calls for Constitutional Convention"" - and a corresponding fundraising campaign that is LIVE now! Come to the page to review your own FAQs and to donate if you feel it meets your values and ideas for a better CA. We also now have a great website https://calconcon.initiative where you can see the focus of our Initiative.</p>
<p>The thinking was that a full on exist (Calexit) gave no room for discussion. We are holding that as a final choice, but putting a whole lot more focus on improving and securing progressive values for all people in America. So we're calling to amend the constitution itself!</p>
<p>Please stay with us. Please visit the fundraising page. Please ask questions.&nbsp;</p>
<p>There will be more to follow. Right now, we are raising funds to file this new petition.</p>
<p>Thank you,</p>
<p>Clare</p>"
"Vacaville ""Not so prim and proper"" ladies, age 65+.","This is a group for women age 65+ who are tired of being alone, who are still energetic, and have lots to offer. A very open minded group of women who like to get together to chat, have coffee, brunch or dinner, share life experiences (we know a lot), have discussions about anything (informal), find fun things to do together. To get out of the house for a while"
Get Me Out of the House! (South Bay),"<p>This group is for anyone who would like to meet new friends while doing a wide variety of activities in the South Bay. This group differs from other activity groups in that there are no restrictions on age or type of activity, it is not a dating group, and it will include events during normal work hours. Also, while the organizer will propose events, it is not meant to be ""organizer-run"". If you have something you want to do, propose it and we'll make it happen!</p>
<p>Do you work from home or are a stay-at-home parent and miss having adult social interaction during the day? Maybe you just don't have anything planned for Friday night and need a kick to get out of the house and do something fun? Do you want to meet new people and form lasting friendships? Then this group is for you! Please join and help make this group a success for all of us.</p>
<p>Some examples of activities we may do include taking walks or going hiking, visiting museums, taking dance lessons, seeing a movie, or hosting a games night at someone's house. But these are only suggestions - let us know what you'd like to do! <br></p>"
SF Dads Group,"<p>Meet other San Francisco Bay Area dads! Stay-At-Home Dads, working dads, part-time at home dads, work from home dads, freelance dads, and involved fathers in and around the SF Bay Area to socialize and interact with other guys who enjoy spending quality time with their kids.</p>
<p>Our primary goal is to form an inclusive &amp; active community of all fathers to take advantage of what the Bay Area has to offer. Organized meet up events are offered several times per week at a local park/playground, museum, playgym, children's venue, parent &amp; me class, zoo, restaurant, or someone's playroom/living room. We aim to schedule and promote evening events as well without our children for a dads night out or educational workshops.</p>
<p>There are not enough resources, social outlets, support groups, or services for dads in San Francisco. This group is the pioneer in achieving more for dads in San Francisco and the surrounding Bay Area.</p>
<p>Additionally, check out our BLOG SITE to read about PLAYGROUP EXPERIENCES, RELEVANT NEWS, News articles, EVENTS, RESEARCH, WORK-LIFE BALANCE &amp; MORE from a diverse group of dad voices: <a href=""http://www.citydadsgroup.com/"" class=""linkified"">http://www.citydadsgroup.com/</a></p>
<p>Join us on Facebook: <a href=""https://www.facebook.com/SanFranciscoDadsGr"" class=""linkified"">https://www.facebook.com/SanFranciscoDadsGr</a>...</p>
<p>Join us on Twitter: <a href=""http://twitter.com/#!/SFDadsGroup"" class=""linkified"">http://twitter.com/#!/SFDadsGroup</a></p>
<p>Join us on Instagram: <a href=""http://instagram.com/sfdadsgroup"">http://instagram.com/sfdadsgroup</a></p>"
"Android/iOS developers, Trump protest social app club","<p>I am looking for Android and iOS developers who want to help me create a non profit mobile app to help citizens organize small 'pods' of protests across the country and share information between each pod.</p> 
<p>I am an attorney and not a developer, and I need developers to help build this app.</p> 
<p>I am looking for volunteers who share my passion for finding mobile social networking solutions to help us all keep Trump in check. I would like to organize a meeting in Mountain View with interested people and developers to brainstorm.</p> 
<p>Let me know if you can make it to my first meet Meetup at 5pm on Thursday November 17, 2016 @ Panera Bread in Mountain View.</p>"
Peninsula Homeschoolers,"<p>The purpose of Peninsula Homeschoolers is to provide an opportunity for homeschooling families living in the San Francisco Peninsula to socialize through different group activities, such as bowling, fishing, ice skating, game night, museum visits, and more, and to have access to affordable educational and enrichment opportunities designed specifically for homeschoolers, such as occasional art workshops, class offerings, kids/parents night out, etc... The group is open to homeschoolers (and those interested in homeschooling) ages 5-15. Member participation in the planning of events and activities is encouraged. Suggestions are welcome! Join our group, and let's get to know eachother and make lasting friendships!!!&nbsp;</p>"
High Choices,"<p>Collective of creators focused on art, healthy living, and personal devlovpment</p>"
Coyote Grange Community Activities South SJ,"<p>We are a community organization combining interests in agriculture, children's education, community support, and fun family activities. We are centered around the historic Coyote Grange Hall in the South San Jose neighborhood of Coyote (Monterey Road north of Bailey Ave.) which provides a welcoming place for many interests. We have kids after school, homeschooling and summer activities, Maker Camps, various clubs and interest groups, rentals for family parties and small events, Community Fun days, outreach, craft fairs, and any other activity ideas our members would like to champion. Come join us and we'll plan some fun stuff! This club can be whatever we build it to be. More about the organization and hall here: <a href=""https://sites.google.com/a/coyotejuniorgrange.com/coyote-grange/home"">http://coyotegrange.org/</a></p>"
Working Body Community Dance & Choreography Workshop- Free!,"<p>Each Season, The Working Body hosts a free Community Dance workshop where you will learn the choreography of spectacular seasonal dances! These&nbsp;<span>workshops are filled with movement, creativity and community! All levels are welcome! Classes are taught at the beginner level and you can adjust your skill&nbsp;</span>from<span>&nbsp;there. These classes are free!</span> <br> <br></p>
<p>At our first dance workshop, 30 zombies learned the THRILLER dance to celebrate Halloween! Join us in December to learn ""Santa Baby,"" in January to learn ""Matrix"" Combat Choreography, and in February to to ""LOVE"" ('L is for the way to Look at me').&nbsp;</p>
<p>Sign up for classes in advance via <a href=""http://bit.ly/1PlvnRl"" class=""linkified"">https://clients.mindbodyonline.com/classic/admhome?studioid=3524</a></p>"
20s & early 30s Couples Meet Up,"<p>Any couple looking to be active, have fun, food, drinks, music, art, outdoor activity, indoor activity<br>Open, friendly &amp; eager to meet new people :)</p>"
Adjusting to Motherhood Support Group,"<p><span>Did you know that Postpartum Depression and Anxiety is the number one complication of childbirth?&nbsp; We welcome women who find the challenges of pregnancy and motherhood to be different than they expected, those who are surprised at the complexity of their experience and want a safe place to think out loud and to learn more about this unique time of life.</span> <br></p>
<p><b>Adjusting to Motherhood meets every Thursday at 10am-11.30am at Family Tree Wellness, 431 Monterey Ave, Suite 7, Los Gatos, CA</b></p>
<p><b>AND on the first Wednesday of the month from 7-8.30pm at Tiny Tots, 138 Railway Ave, Campbell.</b></p>
<p>We offer a safe, confidential place to share the highs and lows of pregnancy and new motherhood. We provide tea, coffee, water and snacks and parking is free. Babies up to about 8 months are welcome to join.</p>
<p>This free group is confidential and is facilitated by Jamie Van Zanen LCSW and Rebecca Geshuri MFT Intern. &nbsp;Please contact Cheryl (cheryl@supportingmamas.org or (408) 475 4408) with any questions.</p>"
Pit Bull Owners and Their Friends,"<p>This group is for all Pit Bull and other bully breed owners in the East Bay. We will host organized walks where we can show off how amazing these dogs truly are! All dogs are welcome, including dogs with some social issues. This is a great way to work on socializing your dog in a controlled and safe manner. UNLESS NOTED OTHERWISE IN THE EVENT DETAILS...all dogs must be on a leash (no retractable leashes or long lines). All prong collars must be backed up. Everyone&nbsp;will be respectful of each others pets and avoid leash greeting your dog(s) without asking owner's permission. </p>
<p>This is a non-judgmental environment where all levels of socialized dogs are welcomed. This is a great way to meet other Pit Bull owners and to make new friends!&nbsp;&nbsp;</p>
<p>Even if you do not own a Pit Bull, but you believe in re-establishing this breeds reputation as the all American family dog that it truly is, PLEASE join us!&nbsp; We love to see owners with different breeds of dogs who still support the block headed dogs we all love.</p>"
Puppy Run and Walk,<p>Anyone with K-9 friends or k-9 lovers can come and join in on the fun. We're an active group of puppy and dog lovers. We enjoy and welcome those who want to take their furry friends on social runs and walks.</p>
Roseville Puppy Play Meetup,<p>Anyone with vaccinated puppies (8 weeks - 16 weeks old) who want to start socialization and share training tips. Documentation of vaccinations will be needed prior to introducing new puppies. Looking for places to meet..ideas include fencing off safe backyards and open areas</p>
Holistic Solutions for PTSD & Trauma in Marin,"<p>This meetup is a place where survivors of childhood or adult trauma, including PTSD, can explore and share recovery methods based on holistic healing systems. There are new holistic methods that have shown great promise including acupuncture, homeopathy, spiritual healing, color therapy, meditation and mindfulness.</p> 
<p>Each meetup will include a group discussion and review of recent research, a group meditation and time for snacks and sharing. We may have live music from time to time to make it fun. Let's support each other in sharing knowledge and our own stories to bring more love, light and healing into our lives.</p>"
Democratic Club of Sunnyvale,"<p>The Democratic Club of Sunnyvale seeks to be an active and welcoming group that promotes progressive, Democratic values and positions. We provide a welcoming group for those in the Sunnyvale, CA, area to meet and promote Democratic causes. Join us to meet other people in this major Silicon Valley city where you can make the most use of your Democratic ideas and energy! Check out our website at <a href=""http://www.sunnyvaledems.org"" class=""linkified"">http://www.sunnyvaledems.org</a>.</p>"
Santa Clara County Libertarian Party,"<p>We are actively involved in addressing local resolutions, participating in our community with philanthropic efforts, and support Libertarian candidates running for offices that effect our region. &nbsp;<span>This is the official MeetUp page for the Santa Clara County Libertarian Party. &nbsp;We welcome everyone interested in Libertarian issues, libertarian views, and current local politics to join us at our events. We offer a friendly environment where we encourage thoughtful and respectful discussions and debates.&nbsp;</span></p>"
SFDebate Political Discussion Meetup,"<p>The SF Debate Meetup is an open forum for discussion on the events of our time. We have three goals UNDERSTAND OTHER POINTS OF VIEW With so much news available to us, it is easy to fall into the trap of relying on sources that simply support and reinforce our own limited beliefs. The SF Debate Meetup is a chance for you to expand your perspectives and understanding. We believe that when opinions are discussed in public,&nbsp; our critical faculties are sharpened as we are exposed to diverse viewpoints that we may not have considered before. &nbsp; DEVELOP YOUR PERSUASIVE SKILLS If you want to be able to convince others of your ideas; if you want to change the world we live in, SFdebate is the forum for you. Consider SFdebate to be a 'dojo' for persuasive speaking. It is a place where you will not only be exposed to opposing points of view, but a safe place where you will be encouraged to find and speak up for yours. HAVE FUN, MAKE FRIENDS SFDebate is also good fun. It is a meeting of minds, and we follow every meeting with drinks , a bite to eat, and some drunken debate at a nearby bar/restaurant. More info at <a href=""http://www.sfdebate.org/"" class=""linkified"">http://www.sfdebate.org/</a></p>"
Santa Cruz  Freedom Forum,"<p>Santa Cruz Freedom Forum is a group of volunteers dedicated to providing an open forum for the discussion of current issues that may not be receiving adequate coverage in the mainstream media.</p>
<p>Freedom Forum is non-partisan, and not endorsed by nor does it endorse any political party. The topics of honest and effective government, sound monetary policies, an accountable foreign policy, are often at the table, as well as other aspects of politics that affect us all, whether it be on a local, national, or global level.</p>
<p>A most important part of our events is to provide a forum for people from all backgrounds to voice their concerns and opinions about different issues and network with others to take action. We believe that people can come together to unite on common issues of great importance rather than be divided by political party or minor issues.</p>
<p>Here is an example of unity across party lines on some big issues: <a href=""https://www.youtube.com/watch?v=zYALxUfEmfQ"">""We Agree""</a></p>
<p>Join us for a free presentation on the third Wednesday of the month. See the Calendar for upcoming events.</p>
<p>Topics discussed in the past (These are only a few!)</p>
<ul> 
 <p>Smart Meters</p> 
 <p>Water Fluoridation</p> 
 <p>Genetically Modified Food</p> 
 <p>Corporate and Political Corruption</p> 
 <p>Local Politics, including red tags and fines</p> 
 <p>Agenda 21</p> 
 <p>Codex Alimentarius</p> 
 <p>SB510 (""Food Safety"" Bill threatening small farms)</p> 
 <p>And much, much more!</p> 
</ul>
<p><strong>Facebook:</strong> <a href=""https://www.facebook.com/freedomforumsantacruz"">https://www.facebook.com/freedomforumsantacruz</a></p>
<p><em><strong>Freedom Forum thanks the following for their generous help in advertising the events:</strong></em></p>
<ul> 
 <p><a href=""http://www.meetup.com/santacruz-freedom-forum/events/54546912/"">Perspectives Radio Show on KSCO</a></p> 
 <p><a href=""http://connectionmagazineonline.com/"">Connection Magazine</a></p> 
 <p><a href=""http://www.gtweekly.com/"">Good Times</a></p> 
 <p><a href=""http://essentiallivingguide.com/"">Essential Living Guide</a></p> 
</ul>
<p><span><em>Freedom Forum is not endorsed by the Live Oak Grange</em></span></p>"
The Libertarian Party of California,"<p>This is the Meetup group for the Libertarian Party of California. We'll use this group to announce activities sponsored or otherwise approved by the state Party. There are also local Libertarian Meetup/County Party groups that you can find on our state Party's website at <a href=""http://ca.lp.org"" class=""linkified"">http://ca.lp.org</a>.</p>"
The Contra Costa Libertarian Meetup,"<p>Meet Libertarians near you! Come to a local Libertarian Meetingto share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in libertarianism is welcome!</p>
<p>Please check the calendar for upcoming meetups. We generally meet at least once a month for our social and business meeting, plus other events.</p>
<p> </p>
<p><br></p>"
Decriminalize Prostitution!,"<p>We're a group of sex workers, clients, taxpayers, freedom lovers, and people from all walks of life working together to stop the immoral, wasteful, and futile practice of arresting and prosecuting consensual sexual acts. Thank you to everyone who helped work to pass Proposition K on the November 2008 ballot here in San Francisco to decriminalize prostitution! While we were unsuccessful this time, we did receive over 41% of the vote, and served notice once again that our movement is not going away. Next time, Liberty willing, we will win! In the meantime, the ongoing work of organizing the sex work community and supporting each other when we are targeted by government or public intolerance, bigotry, or greed for our justly acquired earnings continues... If you are new to this movement, some helpful additional information and resources can be found on the websites of the Prostitutes Education Network (http://www.bayswan.org/), the Sex Workers Outreach Project (http://www.swop-usa.org), Erotic Service Providers Union (http://www.espu-ca.org), and Californians for Privacy (http://www.californians4privacy.us/). Thank you for your interest and participation in this Meetup!</p>"
Libertarian Party of Alameda County,"<p>Meet Libertarians near you! Come to a local Libertarian Meetup to share your opinions on today's political climate and issues and learn how you can contribute to America's political future. Everyone interested in Libertarianism, agorism, voluntaryism or anarchism is welcome!</p>"
Marin Libertarian Meetup Group,"<p>Meet local libertarians from the incorporated cities of Belvedere, Corte Madera, Fairfax, Larkspur, Mill Valley, Novato, Ross, San Anselmo, San Rafael, Sausalito, and Tiburon plus the unincorporated parts of the county. Official Meetup Group for the Libertarian Party of Marin. For more information, go to http://www.marinlp.com</p>"
Politically Inspired Book Club,"<p>Interested in human rights and social justice? Unsure as to the direction of our political, social and economic institutions?</p>
<p>And are you looking for fellow humans to meet and encourage learning and help inspire change?</p>
<p>In this book club, we encourage each other to learn more, discuss ideas, challenge each other and teach each other. Together we explore nonfiction, memoir and fiction books that we collectively choose. We may also follow up our book club meeting with a tea or a beer down the street.</p>
<p>We meet in cafes or bookstores in the Mountain View/Palo Alto area. &nbsp;Our go-to for the monthly book meeting is Books Inc, 301 Castro St, Mountain View- their staff have been very accommodating! &nbsp;You can buy our monthly books from our book club webpage on their website, http://www.booksinc.net/politcally-inspired-book-club</p>
<p>The environment we hold for our discussions is open and compassionate. Recognizing and honoring the different beliefs and political viewpoints, and seeking best to understand and explore. Six principles for dialogue:</p>
<p>6 principles common to most dialogue and circle groups guide the conversations: <br> . Suspend judgment as best you can <br> . Respect one another <br> . Seek to understand rather than persuade <br> . Invite and honor diversity of opinion <br> . Speak what has personal heart and meaning <br> . Go for honesty and depth without going on and on</p>
<p>Let's get Inspired!</p>"
Economic Round Table of San Francisco,"<p>The Economic Round Table is composed of members from different sectors of the business community in San Francisco. We have been meeting weekly since 1940 to hear presentations about current issues in business, politics, law, etc. Although the focus of the group is on economic issues, topics are not limited to this field alone.</p>
<p>To become a member, attend three meetings and pay the annual dues of $200' which pays for a year's worth of coffee and pastry breakfasts.</p>"
Loma Prieta Chapter of the Sierra Club,"<p>The Sierra Club Loma Prieta Chapter serves San Benito, San Mateo &amp; Santa Clara Counties, California.</p>
<p>Our Chapter offers hikes and outdoor recreation for people of all ages. Please see our other MeetUp groups for specific recreation groups: hiking, paddling, ski touring, peak climbing, SierraSingles, Singleaires. For the most complete list, see our Chapter Calendar at <a href=""http://www.sierraclub.org/loma-prieta/calendar"" class=""linkified"">http://www.sierraclub.org/loma-prieta/calen...</a></p>
<p>This MeetUp group is primarily for our activities that advocate for policies to protect our natural environment, support environmental candidates for public office, and provide opportunities for people who want to develop leadership skills to give back to the community and help the environment. For a more complete list of ways you can become involved, see our Chapter website at <a href=""http://www.sierraclub.org/loma-prieta"" class=""linkified"">http://www.sierraclub.org/loma-prieta</a> and check-out Who We Are and What We Do.</p>"
Sacramento Politics and Philosophy Group,"<p>This is a group for those in the Sacramento area who like to discuss politics and philosophy. We have all had different experiences in life, but we always find that political issues are very relevant to our lives and we want to discuss these issues with others. These days, political discussions are sometimes constructive, but unfortunately they often become hostile when people with differing views are in the same room. It is important for us all to hear views other than our own from time to time, and there has to be a way to have honest, thoughtful discussions on issues important to our lives while keeping the discussion calm and polite. In this discussion group, we try to avoid being overly biased when presenting opinions and we will also work to avoid use of fallacies in making points. We expect that there will be differences of opinion, but as long as we keep a philosophical mindset these discussions should not descend into hostility. Many of us also like to discuss philosophical topics and we will have time for this as well and we will probably find that most philosophical concepts have real-world applications, including political. So this discussion group will hover between these two subjects, and we might even at times focus on other subjects as well.</p>"
San Francisco Young Democrats,"<p>SFYD represents the interests of San Franciscans 35 and under. We are activists, legislative staff, students and young professionals that seek to promote and advance the ideals of Democracy.</p>
<p>The San Francisco Young Democrats shall endeavor to stimulate in young people an active interest in governmental affairs, increase the efficiency of our government, maintain the viability of our free institutions, and contribute to the growth and influence of the ideals and philosophies of the Democratic Party.</p>
<p>Angeles Roy - President</p>
<p>Erin Mundy- External VP</p>
<p>Rachel Reis- Internal VP</p>
<p>Mia Satya - Secretary</p>
<p>Nicole Lindler- Treasurer</p>
<p>Please visit our facebook page: <a href=""https://facebook.com/SFYoungDemocrats"" class=""linkified"">https://facebook.com/SFYoungDemocrats</a></p>
<p>Website: <a href=""http://sfyd.org"" class=""linkified"">http://sfyd.org</a></p>"
Libertarian Party of Sacramento County,"If you support liberty and demand socially tolerant, fiscally responsible government, join our group and help us spread libertarian principles throughout Sacramento County. We welcome all who want real change in government, instead of the continuing encroachment and control of our current state."
Community Democracy Project,"<p>The Community Democracy Project (CDP) promotes active citizenship, community learning, and direct democracy by putting the people in charge of the budget. Our voter initiative will change the Oakland City Charter so that we the people decide how our tax money is spent.</p>"
Libertarian Party of Sacramento County: Folsom Group,"<p>If you support liberty and demand socially tolerant, fiscally responsible government, join our group and help us spread libertarian principles throughout Sacramento County. We welcome all who want real change in government, instead of the continuing encroachment and control of our current state.</p>
<p><a href=""http://www.lpsac.com"">The Libertarian Party of Sacramento County</a><br>

</p>
<p><br>

</p>"
"Represent.Us, San Francisco","<p>We are a non-partisan group working to enact the American AntiCorruption Act on the local, state, and federal levels. This is a comprehensive plan to restore democracy and reclaim accountability to We the People, one that does not require a constitutional amendment to make the purchase of political influence illegal. We join with all our neighbors, from the Tea Party to Occupy, because this is an issue of common ground, and working together is how we're going to get this done. We want to fight corruption, not one another. This may not be the right kind of group for everyone, but it might be just what you've been looking for. Learn more at Represent.us and AntiCorruptionAct.org.</p>"
Voting Rights Task Force (East Bay),"<p>The Voting Rights Task Force has been working since 2004 to achieve secure, open, and verifiable elections. Our focus is on how our votes are collected, counted and reported. Topics include voting systems, auditing, Internet voting and vote by mail. Much of our effort involves lobbying and educating at the local, state and national levels. We also observe precinct voting, vote counting and reporting. <br></p>
<p>Some of our accomplishments are listed&nbsp;here:&nbsp;<a href=""https://countedascast.org/voting-rights-task-force/vrtf-history/"" class=""linkified"">https://countedascast.org/voting-rights-tas...</a></p>
<p>As one member noted - this is a effective group that gets things done. <br></p>
<p>Nobody, and no machine, should be counting votes in secret.</p>"
San Francisco FRIENDS OF TIBET Meetup,"This is a group for anyone interested  the study, promotion of, have interest in, and actively preserving Tibetan culture in all its aspects; educate the general public in matters pertaining to Tibet and the Tibetan people; and to provide assistance to Tibetans. We  believe in universal human rights, social justice, human dignity and peace. The public is invited join us."
We Vote Oakland,"<p>Join fellow political junkies as we discuss the current state of get-out-the-vote and social voter guide technology. Discuss how we can collectively break down barriers to voting, educate and empower the modern voter, and actively work to revitalize democracy. Network with other impassioned individuals to share and discuss local efforts to increase civic engagement. Events will include an orientation describing what we are currently working on, and offer ways you can help.</p>
<p>We Vote is a volunteer-driven movement that is building an open platform for citizens to create and share personal voter guides that aggregate information and opinions, across their social networks. The We Vote platform will educate citizens and bring social collaboration to the process of making voting decisions. For more information please see http://www.WeVoteUSA.org</p>
<p>We are volunteer designers, engineers, thought leaders, political junkies, and good citizens. We contribute our time and passion because we feel political decisions should be made following clear-headed conversations as opposed to through epic media battles, cast in terms of good versus evil.</p>
<br>"
"Countable: Your Government, Made Simple.","Countable is a group for anyone interested in civic engagement. We're trying to lower barriers to political entry, make it easier for people to engage with government, and help make government more transparent + accessible. We're a group of journalists, technologists, and politics junkies who care about making the world a better place. Please come join us!"
Bay Area Individualist Party,"<p>The Individualist Party is made up of free-thinking Americans seeking liberty from the collectivist political ideologies that currently define our country. Our goal is to educate, grow, and create a proud and possitive future. &lt;br&gt;We would like to assemble at least once a month for food, drink, conversation and planning. All other events and actions will be posted as they come.</p> 
<p>If you are new to politics, please feel welcome to visit and enjoy good company that is free of partisanship and collectivist dogmas. We want statesmen and stateswomen running our country, not politicians. ""An investment in knowledge pays the best interest."" (Ben Frank)</p>"
